Technology,Offered Load (R),Throughput (T),99%-ile Latency (ms),Std Dev (Error)
Bare Metal,100,100,1.2,0.1
Bare Metal,500,498,2.5,0.2
Bare Metal,1000,995,4.8,0.4
Bare Metal,1500,1480,8.2,0.7
Bare Metal,2000,1850,15.4,1.2
HVM (Virtio/HW),100,99,1.8,0.2
HVM (Virtio/HW),500,495,3.6,0.4
HVM (Virtio/HW),1000,980,7.4,0.6
HVM (Virtio/HW),1500,1410,12.9,1.1
HVM (Virtio/HW),2000,1620,28.5,2.4
Trap & Emulate,100,98,4.5,0.5
Trap & Emulate,500,470,12.2,1.8
Trap & Emulate,1000,820,45,5.2
Trap & Emulate,1500,950,120,15
Trap & Emulate,2000,980,350,40
